University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of Cape Town,Education,2020,2951,60.3,22.59,14557377,3.68
Stellenbosch University,Education,2023,1464,77.98,18.43,19652708,2.8
Wits University,Health Science,2016,2889,89.79,9.94,13179278,2.26
Stellenbosch University,Engineering,2017,931,78.03,15.01,9809904,2.36
Rhodes University,Humanities,2019,2668,56.81,21.53,12614073,2.17
Stellenbosch University,Engineering,2021,1070,87.49,8.12,19770129,2.75
University of KwaZulu-Natal,Law,2016,1093,59.63,18.5,19294569,2.63
University of KwaZulu-Natal,Education,2015,1943,55.9,13.19,9373376,3.22
University of Cape Town,Humanities,2019,1973,83.21,21.21,10391756,3.89
Stellenbosch University,Education,2015,392,66.57,12.27,19502089,3.83
University of Cape Town,Education,2016,2124,88.92,14.52,19933904,2.29
Rhodes University,Education,2023,1608,57.92,11.2,1989114,2.44
Rhodes University,Humanities,2022,2457,80.21,29.58,5101053,3.0
University of KwaZulu-Natal,Education,2019,529,74.15,13.09,9313785,2.44
Rhodes University,Law,2022,1615,77.48,15.08,12289929,2.71
Rhodes University,Law,2015,1480,70.4,7.14,6592583,2.25
Wits University,Humanities,2015,1196,85.98,27.24,16462294,3.58
Wits University,Education,2018,529,54.41,9.49,14221920,2.87
Wits University,Education,2022,2648,80.86,11.11,4127037,2.41
University of Pretoria,Health Science,2016,1936,88.05,5.77,18637059,2.9
Stellenbosch University,Engineering,2019,1967,86.35,8.15,3167848,2.79
Stellenbosch University,Humanities,2024,1540,82.86,14.21,14101256,3.64
University of Cape Town,Engineering,2018,2073,71.02,10.38,19937540,2.31
Wits University,Education,2016,1918,88.13,11.53,10665248,3.58
University of KwaZulu-Natal,Engineering,2015,501,89.27,20.76,19151369,2.92
University of Pretoria,Engineering,2015,1207,72.99,23.06,2331936,2.21
Stellenbosch University,Engineering,2020,1734,57.81,15.31,16565525,2.23
University of Pretoria,Health Science,2024,2042,70.0,12.59,575687,3.05
University of Pretoria,Education,2023,916,90.26,19.58,15985946,3.85
University of Cape Town,Law,2018,2250,58.92,22.49,724974,3.25
University of Pretoria,Law,2019,2989,85.87,29.54,13289006,2.49
Rhodes University,Engineering,2016,1247,71.76,22.11,17029607,3.07
University of KwaZulu-Natal,Engineering,2024,2991,94.91,5.38,16713637,2.36
Wits University,Humanities,2015,2809,90.73,28.26,6870753,2.53
Stellenbosch University,Law,2015,1655,84.46,27.1,16108611,2.51
Wits University,Education,2021,2567,67.38,22.15,7858526,2.35
Stellenbosch University,Engineering,2018,458,77.18,10.19,10583558,3.57
University of KwaZulu-Natal,Health Science,2023,827,57.25,14.23,18538816,2.94
University of Pretoria,Education,2022,213,69.23,24.76,7442880,3.32
University of KwaZulu-Natal,Health Science,2024,2674,70.02,11.07,19827242,2.32
University of Johannesburg,Education,2019,753,60.85,17.82,14263938,3.39
University of Cape Town,Law,2024,2727,89.07,28.43,15081146,2.64
University of Johannesburg,Law,2019,694,72.25,21.47,10608770,3.64
Wits University,Law,2022,296,91.18,25.51,14900410,3.75
Wits University,Education,2021,1293,64.46,13.57,18861051,2.26
Rhodes University,Law,2018,810,87.15,14.0,2662477,3.47
University of Cape Town,Health Science,2021,1496,60.47,13.77,10799550,3.34
Wits University,Engineering,2024,2961,78.38,20.15,4081290,3.8
University of Cape Town,Humanities,2015,1782,86.11,24.61,18362473,2.48
University of KwaZulu-Natal,Health Science,2020,1470,82.84,8.65,2209963,2.83
University of Cape Town,Health Science,2018,1946,55.31,29.68,17558490,2.11
Wits University,Health Science,2015,2255,75.33,20.34,4009142,3.55
Wits University,Law,2022,2937,59.69,12.31,17215784,3.63
University of Johannesburg,Education,2022,247,90.94,22.73,19486996,3.9
University of Pretoria,Education,2018,213,90.74,5.19,4861967,2.05
University of Johannesburg,Law,2022,626,60.33,12.64,1313298,3.01
Stellenbosch University,Education,2023,861,51.28,8.32,18334927,3.08
University of Johannesburg,Engineering,2020,1968,82.46,23.31,11201307,2.7
Wits University,Education,2015,377,83.65,7.88,3838410,2.3
Stellenbosch University,Education,2019,1719,88.11,19.76,10991782,3.62
Stellenbosch University,Education,2018,1197,61.24,25.26,19574987,3.25
Rhodes University,Education,2020,2834,75.68,25.79,14364025,3.06
University of Cape Town,Education,2023,2211,78.93,23.38,19509281,2.78
University of Cape Town,Education,2018,1247,93.9,15.67,10486349,3.55
Stellenbosch University,Engineering,2024,1615,82.23,7.59,12845315,2.74
University of Cape Town,Health Science,2017,2019,64.14,14.23,5142934,2.19
University of Johannesburg,Law,2020,2945,55.0,20.53,16545219,2.57
University of Cape Town,Engineering,2024,2796,73.85,24.36,15482272,3.07
University of Pretoria,Humanities,2015,388,80.88,5.23,1237621,2.65
University of Pretoria,Humanities,2019,2505,79.79,23.62,16755038,3.68
Wits University,Health Science,2024,2770,85.93,12.87,18378270,2.1
University of KwaZulu-Natal,Engineering,2018,893,88.85,25.68,14763982,3.04
University of Johannesburg,Engineering,2023,343,89.18,14.38,11103361,2.5
University of Johannesburg,Law,2019,1035,87.48,27.91,17646597,3.71
Stellenbosch University,Health Science,2024,2178,84.13,25.15,1279866,2.53
University of KwaZulu-Natal,Engineering,2024,1501,53.45,15.95,9856046,3.8
Wits University,Humanities,2017,2563,80.66,10.27,12089127,3.37
Stellenbosch University,Education,2020,734,71.82,17.79,5284957,3.96
Stellenbosch University,Engineering,2019,2308,56.08,24.01,13723716,3.44
University of Johannesburg,Law,2015,2129,89.82,24.29,18773269,3.56
University of Cape Town,Health Science,2019,2604,85.33,6.56,17395989,3.65
Rhodes University,Law,2020,2698,79.06,10.06,17725934,2.28
Stellenbosch University,Humanities,2015,2268,52.2,10.6,6583336,2.15
Wits University,Education,2019,1143,54.56,25.14,7768776,2.9
Stellenbosch University,Humanities,2022,1277,51.71,6.23,3922330,3.37
Wits University,Health Science,2022,1291,69.37,23.2,12157092,3.58
Wits University,Humanities,2019,448,57.34,12.92,13203471,2.51
Stellenbosch University,Law,2024,2437,72.44,9.56,7879295,2.12
University of Johannesburg,Law,2017,1559,93.95,10.75,2526538,2.47
University of Pretoria,Education,2018,2359,76.72,21.04,11635386,2.02
Wits University,Education,2018,698,91.1,24.13,4778340,3.43
University of Pretoria,Education,2019,1177,85.97,8.56,1157775,3.11
Rhodes University,Education,2019,1637,88.17,18.8,19708964,2.85
University of Cape Town,Engineering,2016,2170,88.75,19.65,6003381,2.99
Stellenbosch University,Humanities,2020,411,54.0,12.87,19214849,3.78
University of Pretoria,Health Science,2023,1046,58.59,17.59,3669904,3.33
University of Pretoria,Education,2015,2253,74.96,20.8,9679896,3.34
Stellenbosch University,Engineering,2017,2480,61.18,11.19,19991949,3.81
University of Cape Town,Education,2021,643,73.34,20.0,1069805,2.53
University of KwaZulu-Natal,Education,2020,1242,70.0,24.82,16145887,3.85
University of Pretoria,Health Science,2018,391,85.29,22.02,19391034,3.01
Wits University,Health Science,2018,602,89.36,12.8,2761242,2.73
Wits University,Humanities,2016,2071,89.51,20.36,13279380,3.78
Rhodes University,Health Science,2021,2629,71.99,23.95,16715924,3.2
University of Johannesburg,Engineering,2022,1564,93.12,16.53,18105585,2.55
University of Pretoria,Education,2017,923,55.35,7.71,17040253,2.52
University of Johannesburg,Humanities,2022,1277,78.56,6.86,1812905,3.54
University of Pretoria,Education,2024,1517,93.43,15.57,2444347,2.42
University of KwaZulu-Natal,Engineering,2017,2247,53.37,8.22,11903867,3.25
University of KwaZulu-Natal,Education,2015,931,94.57,22.47,13859267,3.41
Stellenbosch University,Law,2016,299,64.12,13.17,2995286,3.02
University of Johannesburg,Humanities,2018,2182,58.12,7.73,18243315,2.8
Rhodes University,Engineering,2015,1217,91.03,10.26,12026829,2.84
Stellenbosch University,Law,2020,965,50.67,26.73,9714490,2.03
University of Johannesburg,Education,2022,2990,61.57,10.21,12091568,3.1
University of Johannesburg,Health Science,2017,1140,69.59,16.56,16908380,2.18
University of Pretoria,Health Science,2021,2052,55.45,13.11,9024593,3.77
University of Pretoria,Education,2018,1472,57.77,28.12,13910596,3.31
University of Pretoria,Education,2015,1034,50.01,16.84,16190875,3.88
Rhodes University,Humanities,2015,1818,55.74,18.21,12693748,2.57
Stellenbosch University,Education,2018,2022,80.79,10.27,6202410,3.78
University of KwaZulu-Natal,Engineering,2023,207,70.85,18.17,18789249,3.64
University of KwaZulu-Natal,Humanities,2024,860,54.9,18.34,7393712,2.79
Stellenbosch University,Education,2018,2748,61.87,22.25,17820078,3.14
University of Johannesburg,Law,2015,1105,89.84,11.63,5647956,3.52
University of Johannesburg,Humanities,2019,1381,80.1,6.1,16531130,2.69
University of Pretoria,Education,2022,1985,75.32,7.57,9944440,3.1
Stellenbosch University,Humanities,2015,1619,55.97,6.98,9906172,2.8
University of KwaZulu-Natal,Health Science,2019,2129,79.84,27.25,13854787,2.8
Wits University,Law,2015,2314,71.26,15.28,17159827,2.42
Rhodes University,Engineering,2018,1579,92.38,7.36,11771354,2.3
University of KwaZulu-Natal,Health Science,2018,1963,67.99,12.14,16764762,2.0
Wits University,Law,2024,337,66.44,26.64,19736168,3.97
University of Johannesburg,Education,2016,1859,70.94,7.62,1846404,3.83
University of KwaZulu-Natal,Humanities,2024,2713,94.23,26.33,14825299,2.73
University of Pretoria,Health Science,2021,2965,56.81,11.23,6878107,3.69
University of Pretoria,Health Science,2024,1863,60.6,19.15,6214819,2.48
University of KwaZulu-Natal,Law,2023,1789,83.06,21.18,11673425,3.64
University of KwaZulu-Natal,Health Science,2021,2249,64.17,12.24,19484499,2.43
University of KwaZulu-Natal,Health Science,2017,400,90.38,28.7,18753269,3.12
Rhodes University,Health Science,2020,788,71.66,24.81,13834768,3.58
Stellenbosch University,Humanities,2021,1778,50.33,15.09,10502340,2.04
Rhodes University,Engineering,2016,1918,59.07,12.1,1600224,2.52
University of Cape Town,Engineering,2018,1258,50.79,15.48,17979972,2.97
University of Pretoria,Engineering,2015,111,67.13,20.37,6362499,2.52
University of KwaZulu-Natal,Education,2022,1188,55.8,24.13,10498926,2.14
University of Johannesburg,Education,2017,2259,73.7,25.73,14055648,3.68
University of Cape Town,Law,2017,2796,79.06,26.26,1009649,3.53
University of Cape Town,Law,2021,1476,66.07,23.71,3772880,2.04
Stellenbosch University,Engineering,2018,1308,89.85,29.85,14884435,3.21
University of Cape Town,Health Science,2023,2403,89.09,24.33,14783335,2.03
Stellenbosch University,Law,2023,720,57.54,6.02,12189145,2.21
Stellenbosch University,Humanities,2016,2479,72.52,16.94,3744489,2.95
Rhodes University,Humanities,2022,2277,50.86,14.82,19585719,2.1
Rhodes University,Education,2019,2340,81.52,8.78,5209665,2.16
University of Pretoria,Education,2015,120,86.97,23.66,13041320,2.76
Rhodes University,Engineering,2018,1256,81.7,9.43,5443663,3.23
Stellenbosch University,Law,2019,1408,81.01,16.72,741911,3.57
Rhodes University,Humanities,2020,1957,90.0,25.72,3308864,3.38
University of KwaZulu-Natal,Humanities,2019,2045,89.76,7.75,10663846,3.83
University of KwaZulu-Natal,Education,2018,346,62.26,12.78,19142776,2.22
University of Cape Town,Engineering,2016,413,52.54,10.71,6177327,3.87
University of Johannesburg,Law,2015,2427,59.07,20.66,16291461,3.62
University of Pretoria,Education,2024,1062,73.09,21.03,5167080,3.13
Stellenbosch University,Health Science,2021,2199,61.48,12.17,14087284,3.7
University of Pretoria,Humanities,2016,2101,61.92,8.62,1167641,2.74
Rhodes University,Law,2015,1723,84.92,24.45,13298997,3.7
University of Cape Town,Law,2015,1087,50.76,27.5,12286918,3.88
University of Johannesburg,Engineering,2021,1873,70.52,20.92,13513394,2.01
University of Pretoria,Education,2015,2089,57.59,19.27,966454,3.11
Wits University,Engineering,2015,1736,83.63,17.76,18134795,3.83
University of Pretoria,Education,2015,726,84.65,24.33,6286310,3.1
University of Pretoria,Law,2024,959,88.72,26.85,4028265,2.16
University of Johannesburg,Engineering,2017,2611,75.08,9.74,7259234,2.32
University of KwaZulu-Natal,Humanities,2017,1766,84.0,20.97,17553228,3.01
Wits University,Engineering,2020,1957,85.39,7.14,8274302,3.73
University of KwaZulu-Natal,Engineering,2020,848,56.29,26.27,19650015,2.89
Stellenbosch University,Health Science,2020,2918,51.04,13.81,3773551,2.02
Stellenbosch University,Health Science,2019,1346,73.12,16.42,17484810,3.59
Stellenbosch University,Health Science,2022,2714,87.35,21.36,5374511,2.12
Stellenbosch University,Law,2016,2117,85.24,27.92,15185750,3.48
University of Pretoria,Health Science,2016,936,53.22,26.91,2672121,3.45
Rhodes University,Engineering,2017,437,80.61,22.95,9525133,2.26
University of KwaZulu-Natal,Health Science,2015,1218,84.86,27.22,12912597,2.11
University of Cape Town,Health Science,2023,297,56.69,27.75,8614774,3.22
University of Johannesburg,Engineering,2017,808,81.1,5.36,3554992,2.36
University of KwaZulu-Natal,Humanities,2018,1646,61.21,8.83,17658591,3.66
Wits University,Law,2019,1041,90.09,25.01,7692725,2.95
University of Cape Town,Education,2018,2843,70.39,16.6,5849336,3.56
University of Cape Town,Law,2018,1818,72.73,19.07,3739427,3.5
Wits University,Humanities,2019,2956,84.74,11.35,7052989,2.31
Rhodes University,Engineering,2020,310,69.66,21.57,10393673,2.15
University of Johannesburg,Education,2015,899,72.02,26.64,19537283,2.26
University of Cape Town,Law,2022,1987,73.44,7.26,10203590,2.07
Stellenbosch University,Law,2018,1217,84.86,20.14,1807201,2.89
Stellenbosch University,Health Science,2019,397,69.76,28.83,3236683,2.85
Rhodes University,Education,2019,236,94.08,7.84,11122524,3.28
University of Pretoria,Engineering,2019,1909,82.92,7.74,6805783,2.0
University of Johannesburg,Humanities,2020,1629,81.53,5.95,1683808,3.2
University of KwaZulu-Natal,Engineering,2016,841,79.41,29.87,8791501,3.48
Stellenbosch University,Education,2021,538,63.68,27.64,7840305,3.33
Stellenbosch University,Engineering,2017,359,56.33,20.59,12366067,3.7
Wits University,Humanities,2022,1497,78.05,12.82,2881845,3.46
University of Johannesburg,Law,2023,493,76.55,16.15,10861060,2.46
University of Cape Town,Humanities,2024,2361,67.33,5.28,5186854,2.87
Stellenbosch University,Humanities,2015,962,61.46,23.88,13621803,2.7
University of Cape Town,Engineering,2015,2949,77.86,18.67,7940280,3.22
University of KwaZulu-Natal,Law,2024,2289,74.42,6.63,7190843,3.18
Rhodes University,Law,2017,942,54.68,26.18,19463728,3.5
Rhodes University,Engineering,2021,2876,53.75,29.03,12479470,3.5
Rhodes University,Law,2017,2197,94.34,24.25,8235353,3.2
Wits University,Education,2021,1734,77.39,6.06,15376424,2.56
University of Pretoria,Humanities,2023,600,81.53,24.59,16636344,3.78
Wits University,Education,2023,2125,56.75,11.94,973209,3.98
University of KwaZulu-Natal,Engineering,2020,1977,85.18,14.23,13323934,2.23
Rhodes University,Health Science,2022,1799,74.22,12.41,8430019,3.95
University of Johannesburg,Education,2017,2237,60.81,28.08,6000130,3.94
Wits University,Education,2024,163,62.46,25.32,7464394,3.89
University of Johannesburg,Education,2020,1753,69.1,26.83,16080606,3.49
University of Johannesburg,Health Science,2024,2235,83.1,15.09,17331234,2.36
Rhodes University,Engineering,2023,2778,65.76,16.37,1235365,3.19
University of Johannesburg,Health Science,2020,1097,90.37,14.01,13259794,3.22
Rhodes University,Law,2021,448,65.27,11.69,16439821,3.77
Wits University,Health Science,2015,2032,77.68,11.77,10149354,3.69
University of Pretoria,Health Science,2018,1342,58.43,8.73,11027374,3.4
University of Cape Town,Education,2019,2997,64.68,29.89,11405536,3.22
University of Cape Town,Engineering,2019,2501,56.37,25.38,6797727,2.02
University of Johannesburg,Humanities,2019,1563,56.4,26.17,5706754,3.54
University of Cape Town,Humanities,2016,1191,51.69,23.95,2227842,3.83
University of Pretoria,Law,2016,152,58.64,12.16,12179197,3.36
Stellenbosch University,Law,2021,2201,61.12,11.11,15434789,3.31
Stellenbosch University,Engineering,2015,2104,94.71,19.47,16647719,3.58
Wits University,Humanities,2024,2861,92.84,11.38,6859179,3.23
Rhodes University,Law,2017,237,52.0,25.36,17752201,3.46
University of Cape Town,Humanities,2017,206,75.01,16.58,4353727,3.1
Wits University,Education,2017,1864,74.0,11.67,6441310,3.79
Stellenbosch University,Humanities,2018,2973,78.12,11.9,17242219,3.1
University of Johannesburg,Health Science,2020,2041,90.33,8.78,17856795,3.94
Rhodes University,Law,2015,1634,92.41,27.86,12106518,3.42
University of Pretoria,Engineering,2023,508,63.37,11.61,18824094,3.07
Stellenbosch University,Humanities,2022,2498,71.04,14.35,5933077,2.05
Rhodes University,Engineering,2018,1909,88.72,25.67,16895561,2.13
University of Pretoria,Education,2018,2851,69.25,12.52,6235816,2.89
Stellenbosch University,Health Science,2018,2254,69.64,27.67,760436,3.9
University of Cape Town,Education,2018,1268,83.32,23.07,970929,3.29
University of KwaZulu-Natal,Health Science,2024,1647,87.07,9.03,7741333,3.31
University of Cape Town,Law,2024,1640,88.93,26.82,8230702,2.1
University of Pretoria,Humanities,2017,1065,86.77,7.37,16765711,3.85
Wits University,Education,2023,537,76.94,9.6,17510024,2.49
University of KwaZulu-Natal,Health Science,2016,1078,77.13,9.79,13283721,3.44
University of Pretoria,Education,2019,2227,83.39,12.02,12178708,2.07
Stellenbosch University,Humanities,2024,1843,68.88,29.21,18748077,2.82
Stellenbosch University,Engineering,2020,469,80.82,14.4,4657895,3.2
University of Pretoria,Health Science,2015,543,72.43,6.81,18599070,2.9
Wits University,Humanities,2023,965,51.39,17.54,17796419,3.74
University of Johannesburg,Health Science,2024,2306,91.06,13.71,5527419,3.14
